epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7707,1.2197,2.97276,1.59226,0.00562,1,0.56284,0.32534,1.08933,3.25324,1.79225,0.00038341,0.00038341,0.00038341
2,40.7685,1.14603,2.29505,1.54306,0.20128,0.87857,0.82679,0.47711,1.13704,2.83858,1.79088,0.000744707,0.000744707,0.000744707
3,61.5301,1.20606,2.14626,1.56583,0.56229,0.50907,0.58516,0.36291,1.54326,2.50155,2.30278,0.0010664,0.0010664,0.0010664
4,86.6985,1.17827,1.94435,1.52896,0.69045,0.38681,0.59143,0.36647,1.60452,2.49456,2.51402,0.00134848,0.00134848,0.00134848
5,109.718,1.19595,1.89869,1.54729,0.61764,0.49171,0.61699,0.36954,1.51982,3.00309,2.40951,0.00133693,0.00133693,0.00133693
6,133.655,1.21918,1.93732,1.53985,0.67998,0.6564,0.69964,0.42694,1.59858,2.73685,2.51314,0.00125442,0.00125442,0.00125442
7,160.001,1.14277,1.78945,1.54307,0.62726,0.81476,0.81432,0.43402,1.55372,2.85046,2.25555,0.0011719,0.0011719,0.0011719
8,186.785,1.13106,1.75256,1.53377,0.77741,0.80714,0.81924,0.4592,1.44833,2.70206,2.10143,0.00108938,0.00108938,0.00108938
9,211.622,1.15137,1.63927,1.51201,0.59545,0.85993,0.81116,0.4413,1.18094,3.57925,1.79675,0.00100687,0.00100687,0.00100687
10,236.164,1.09369,1.71076,1.50361,0.79164,0.75714,0.76803,0.47807,1.38084,2.7085,1.98777,0.000924352,0.000924352,0.000924352
11,261.629,1.11674,2.19016,1.70064,0.72443,0.68667,0.71947,0.47041,1.50853,2.05664,2.34699,0.000841835,0.000841835,0.000841835
12,286.255,1.13501,2.18013,1.68999,0.8815,0.66976,0.76907,0.46243,1.43631,1.98475,2.28738,0.000759318,0.000759318,0.000759318
13,309.338,0.9849,2.03505,1.46815,0.89295,0.68719,0.7537,0.45812,1.44276,2.06895,2.2833,0.000676802,0.000676802,0.000676802
14,335.35,0.97005,1.90998,1.46658,0.79076,0.70714,0.78303,0.4434,1.50442,2.22457,2.24269,0.000594286,0.000594286,0.000594286
15,362.318,1.00177,1.85427,1.56605,0.72497,0.75714,0.82416,0.48586,1.40944,2.03235,2.09711,0.000511769,0.000511769,0.000511769
16,391.106,1.03931,1.98952,1.55519,0.79735,0.74218,0.81897,0.49843,1.37966,1.99555,2.02132,0.000429253,0.000429253,0.000429253
17,411.792,0.89787,1.76039,1.43222,0.86139,0.75714,0.85713,0.48926,1.46233,1.8643,2.14438,0.000346736,0.000346736,0.000346736
18,428.121,0.84996,1.72228,1.39911,0.85548,0.795,0.86091,0.47888,1.46845,1.83008,2.15775,0.00026422,0.00026422,0.00026422
19,445.159,0.95225,1.71909,1.53615,0.86312,0.80492,0.86436,0.52412,1.44286,1.85724,2.16495,0.000181703,0.000181703,0.000181703
20,461.473,0.83789,1.66184,1.36027,0.81194,0.78408,0.84676,0.52682,1.41637,1.8767,2.15211,9.91865e-05,9.91865e-05,9.91865e-05
